file,parseTime,initTime,allCount,unknownCount,parseUPTime,initUPTime,allUPCount,unknownUPCount
fase-trainbenchmark-100_1.problem,356,964,1662,496,327,1481,1589,423
fase-trainbenchmark-100_10.problem,143,396,2152,920,149,651,1975,741
fase-trainbenchmark-100_11.problem,218,893,2286,1088,344,1434,2075,877
fase-trainbenchmark-100_12.problem,247,662,1569,431,237,1042,1562,424
fase-trainbenchmark-100_13.problem,228,723,1839,673,403,1182,1767,601
fase-trainbenchmark-100_14.problem,126,385,1763,616,137,693,1749,602
fase-trainbenchmark-100_15.problem,211,531,1728,576,228,1096,1675,523
fase-trainbenchmark-100_16.problem,351,780,2021,861,328,1558,1891,731
fase-trainbenchmark-100_17.problem,269,895,1831,636,333,1395,1763,568
fase-trainbenchmark-100_18.problem,303,877,1871,727,298,1364,1809,665
fase-trainbenchmark-100_19.problem,292,947,2227,1010,236,1351,2094,877
fase-trainbenchmark-100_2.problem,259,677,1788,587,257,1355,1758,557
fase-trainbenchmark-100_20.problem,210,535,1744,557,206,897,1711,524
fase-trainbenchmark-100_21.problem,196,547,1937,644,203,1027,1869,574
fase-trainbenchmark-100_22.problem,301,896,1828,637,263,1386,1748,555
fase-trainbenchmark-100_23.problem,189,644,1594,472,202,904,1572,450
fase-trainbenchmark-100_24.problem,310,1039,1809,635,365,2275,1742,568
fase-trainbenchmark-100_25.problem,303,835,2094,825,407,1717,2053,784
fase-trainbenchmark-100_26.problem,255,812,1842,695,252,1619,1806,659
fase-trainbenchmark-100_27.problem,205,636,1637,471,236,1024,1626,460
fase-trainbenchmark-100_28.problem,374,702,1789,637,307,2113,1775,623
fase-trainbenchmark-100_29.problem,155,424,2169,962,165,802,2002,795
fase-trainbenchmark-100_3.problem,358,1271,1993,815,316,1928,1867,689
fase-trainbenchmark-100_30.problem,203,540,1707,518,228,928,1676,487
fase-trainbenchmark-100_4.problem,212,870,1694,502,277,1048,1679,487
fase-trainbenchmark-100_5.problem,309,931,1886,718,317,1600,1795,625
fase-trainbenchmark-100_6.problem,239,607,2130,865,333,1535,1999,734
fase-trainbenchmark-100_7.problem,303,895,1677,494,315,1573,1628,445
fase-trainbenchmark-100_8.problem,307,1275,1663,463,341,1680,1627,427
fase-trainbenchmark-100_9.problem,142,400,1668,570,201,778,1632,534
fase-trainbenchmark-20_1.problem,145,430,280,87,236,1234,278,85
fase-trainbenchmark-20_10.problem,192,610,301,114,177,1136,296,109
fase-trainbenchmark-20_11.problem,193,610,289,92,159,1119,286,89
fase-trainbenchmark-20_12.problem,164,619,276,69,210,1131,275,68
fase-trainbenchmark-20_13.problem,189,571,283,79,183,1178,279,75
fase-trainbenchmark-20_14.problem,109,548,252,76,157,867,249,73
fase-trainbenchmark-20_15.problem,153,788,276,79,255,2056,275,78
fase-trainbenchmark-20_16.problem,176,584,281,77,132,779,278,74
fase-trainbenchmark-20_17.problem,130,590,359,149,172,1351,355,145
fase-trainbenchmark-20_18.problem,112,580,282,84,189,1166,281,83
fase-trainbenchmark-20_19.problem,201,641,298,95,199,1170,293,90
fase-trainbenchmark-20_2.problem,201,600,283,88,172,1116,281,86
fase-trainbenchmark-20_20.problem,224,976,285,95,177,1435,283,93
fase-trainbenchmark-20_21.problem,185,643,293,96,188,1248,288,91
fase-trainbenchmark-20_22.problem,115,382,270,73,160,825,269,72
fase-trainbenchmark-20_23.problem,204,546,308,115,160,1105,302,109
fase-trainbenchmark-20_24.problem,123,569,295,94,112,1161,292,91
fase-trainbenchmark-20_25.problem,73,251,281,80,80,503,280,79
fase-trainbenchmark-20_26.problem,102,451,297,92,110,718,294,89
fase-trainbenchmark-20_27.problem,170,738,283,84,146,1570,282,83
fase-trainbenchmark-20_28.problem,105,337,275,78,106,689,272,75
fase-trainbenchmark-20_29.problem,109,417,279,97,190,901,276,94
fase-trainbenchmark-20_3.problem,116,372,300,93,160,729,297,90
fase-trainbenchmark-20_30.problem,192,787,280,86,231,1611,278,84
fase-trainbenchmark-20_4.problem,209,592,321,114,368,1705,317,110
fase-trainbenchmark-20_5.problem,207,577,292,98,152,1518,289,95
fase-trainbenchmark-20_6.problem,106,356,292,82,128,711,290,80
fase-trainbenchmark-20_7.problem,182,596,301,102,185,1175,298,99
fase-trainbenchmark-20_8.problem,113,368,292,87,181,850,289,84
fase-trainbenchmark-20_9.problem,226,627,294,94,201,1290,289,89
fase-trainbenchmark-30_1.problem,221,593,376,113,213,1235,371,108
fase-trainbenchmark-30_10.problem,177,575,372,103,179,1084,368,99
fase-trainbenchmark-30_11.problem,111,422,385,120,143,890,380,115
fase-trainbenchmark-30_12.problem,232,686,399,146,196,1509,388,135
fase-trainbenchmark-30_13.problem,207,796,420,142,211,1670,416,138
fase-trainbenchmark-30_14.problem,199,585,439,130,278,1632,434,125
fase-trainbenchmark-30_15.problem,238,735,389,117,190,1101,384,112
fase-trainbenchmark-30_16.problem,180,457,492,151,160,890,485,144
fase-trainbenchmark-30_17.problem,120,534,373,110,119,777,368,105
fase-trainbenchmark-30_18.problem,239,834,404,142,186,1264,400,138
fase-trainbenchmark-30_19.problem,139,509,415,149,197,1024,410,144
